19/05/2012 18:41:08 (Std) 	+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
19/05/2012 18:41:08 (Std) 	+                     Crazy Eddie's GUI System - Event log                    +
19/05/2012 18:41:08 (Std) 	+                          (http://www.cegui.org.uk/)                         +
19/05/2012 18:41:08 (Std) 	+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+

19/05/2012 18:41:08 (Std) 	CEGUI::Logger singleton created. (15840860)
19/05/2012 18:41:08 (Std) 	
19/05/2012 18:41:08 (Std) 	********************************************************************************
19/05/2012 18:41:08 (Std) 	* Important:                                                                   *
19/05/2012 18:41:08 (Std) 	*     To get support at the CEGUI forums, you must post _at least_ the section *
19/05/2012 18:41:08 (Std) 	*     of this log file indicated below.  Failure to do this will result in no  *
19/05/2012 18:41:08 (Std) 	*     support being given; please do not waste our time.                       *
19/05/2012 18:41:08 (Std) 	********************************************************************************
19/05/2012 18:41:08 (Std) 	********************************************************************************
19/05/2012 18:41:08 (Std) 	* -------- START OF ESSENTIAL SECTION TO BE POSTED ON THE FORUM       -------- *
19/05/2012 18:41:08 (Std) 	********************************************************************************
19/05/2012 18:41:08 (Std) 	---- Version 0.7.6 (Build: May  7 2012 Debug Microsoft Windows MSVC++ 10.0 32 bit) ----
19/05/2012 18:41:08 (Std) 	---- Renderer module is: CEGUI::OgreRenderer - Official OGRE based 2nd generation renderer module. ----
19/05/2012 18:41:08 (Std) 	---- XML Parser module is: CEGUI::ExpatParser - Official expat based parser module for CEGUI ----
19/05/2012 18:41:08 (Std) 	---- Image Codec module is: OgreImageCodec - Integrated ImageCodec using the Ogre engine. ----
19/05/2012 18:41:08 (Std) 	---- Scripting module is: None ----
19/05/2012 18:41:08 (Std) 	********************************************************************************
19/05/2012 18:41:08 (Std) 	* -------- END OF ESSENTIAL SECTION TO BE POSTED ON THE FORUM         -------- *
19/05/2012 18:41:08 (Std) 	********************************************************************************
19/05/2012 18:41:08 (Std) 	
19/05/2012 18:41:08 (Std) 	---- Begining CEGUI System initialisation ----
19/05/2012 18:41:08 (Std) 	CEGUI::ImagesetManager singleton created (15840758)
19/05/2012 18:41:08 (Std) 	CEGUI::FontManager singleton created. (15832EC0)
19/05/2012 18:41:08 (Std) 	CEGUI::WindowFactoryManager singleton created
19/05/2012 18:41:08 (Std) 	CEGUI::WindowManager singleton created (157FB298)
19/05/2012 18:41:08 (Std) 	CEGUI::SchemeManager singleton created. (158338A8)
19/05/2012 18:41:08 (Std) 	CEGUI::MouseCursor singleton created. (1580E7E0)
19/05/2012 18:41:08 (Std) 	CEGUI::GlobalEventSet singleton created. (157E8D80)
19/05/2012 18:41:08 (Std) 	CEGUI::AnimationManager singleton created (157FB118)
19/05/2012 18:41:08 (Std) 	CEGUI::WidgetLookManager singleton created. (157F8298)
19/05/2012 18:41:08 (Std) 	CEGUI::WindowRendererManager singleton created (157F8358)
19/05/2012 18:41:08 (Std) 	CEGUI::RenderEffectManager singleton created (157CCDF0)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'DefaultWindow' windows.
19/05/2012 18:41:08 (Std) 	WindowFactory for 'DefaultWindow' windows added. (15833C68)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'DragContainer' windows.
19/05/2012 18:41:08 (Std) 	WindowFactory for 'DragContainer' windows added. (15836E60)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'ScrolledContainer' windows.
19/05/2012 18:41:08 (Std) 	WindowFactory for 'ScrolledContainer' windows added. (15836F28)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'ClippedContainer' windows.
19/05/2012 18:41:08 (Std) 	WindowFactory for 'ClippedContainer' windows added. (15836FF0)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'CEGUI/Checkbox' windows.
19/05/2012 18:41:08 (Std) 	WindowFactory for 'CEGUI/Checkbox' windows added. (158370B8)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'CEGUI/PushButton' windows.
19/05/2012 18:41:08 (Std) 	WindowFactory for 'CEGUI/PushButton' windows added. (15837180)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'CEGUI/RadioButton' windows.
19/05/2012 18:41:08 (Std) 	WindowFactory for 'CEGUI/RadioButton' windows added. (15837248)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'CEGUI/Combobox' windows.
19/05/2012 18:41:08 (Std) 	WindowFactory for 'CEGUI/Combobox' windows added. (15837310)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'CEGUI/ComboDropList' windows.
19/05/2012 18:41:08 (Std) 	WindowFactory for 'CEGUI/ComboDropList' windows added. (158373D8)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'CEGUI/Editbox' windows.
19/05/2012 18:41:08 (Std) 	WindowFactory for 'CEGUI/Editbox' windows added. (158374A0)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'CEGUI/FrameWindow' windows.
19/05/2012 18:41:08 (Std) 	WindowFactory for 'CEGUI/FrameWindow' windows added. (15837568)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'CEGUI/ItemEntry' windows.
19/05/2012 18:41:08 (Std) 	WindowFactory for 'CEGUI/ItemEntry' windows added. (15837630)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'CEGUI/Listbox' windows.
19/05/2012 18:41:08 (Std) 	WindowFactory for 'CEGUI/Listbox' windows added. (158376F8)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'CEGUI/ListHeader' windows.
19/05/2012 18:41:08 (Std) 	WindowFactory for 'CEGUI/ListHeader' windows added. (158377C0)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'CEGUI/ListHeaderSegment' windows.
19/05/2012 18:41:08 (Std) 	WindowFactory for 'CEGUI/ListHeaderSegment' windows added. (15837888)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'CEGUI/Menubar' windows.
19/05/2012 18:41:08 (Std) 	WindowFactory for 'CEGUI/Menubar' windows added. (1581D9D0)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'CEGUI/PopupMenu' windows.
19/05/2012 18:41:08 (Std) 	WindowFactory for 'CEGUI/PopupMenu' windows added. (1581DA98)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'CEGUI/MenuItem' windows.
19/05/2012 18:41:08 (Std) 	WindowFactory for 'CEGUI/MenuItem' windows added. (1581DB60)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'CEGUI/MultiColumnList' windows.
19/05/2012 18:41:08 (Std) 	WindowFactory for 'CEGUI/MultiColumnList' windows added. (1581DC28)
19/05/2012 18:41:08 (Std) 	Created WindowFactory for 'CEGUI/MultiLineEditbox' windows.
